state,total,Population_1940,radio_per_100k
Alabama,12,2832961,0.42358507582702337
Alaska,3,72524,4.136561689923336
Arizona,9,499261,1.8026643378914036
Arkansas,10,1949387,0.5129817732446148
California,54,6907387,0.7817717466822114
Colorado,14,1123296,1.2463322223171809
Connecticut,8,1709242,0.4680437293256309
Delaware,2,266505,0.7504549633215137
District of Columbia,4,663091,0.6032354533540645
Florida,14,1897414,0.7378463529835871
Georgia,14,3123723,0.44818314556060185
Hawaii,3,423330,0.708666997377932
Idaho,7,524873,1.333655951058637
Illinois,32,7897241,0.4052048050705303
Indiana,19,3427796,0.5542920290472362
Iowa,18,2538268,0.7091449760230204
Kansas,16,1801028,0.8883815243294385
Kentucky,8,2845627,0.28113312110125466
Louisiana,13,2363880,0.5499433135353741
Maine,6,847226,0.7081935634647661
Maryland,8,1821244,0.4392601979745712
Massachusetts,19,4316721,0.4401489000563159
Michigan,22,5256106,0.41856081289075986
Minnesota,18,2792300,0.6446298750134298
Mississippi,9,2183796,0.41212640741168133
Missouri,20,3784664,0.5284484963526485
Montana,6,559456,1.072470399816965
Nebraska,10,1315834,0.7599742824702812
Nevada,3,110247,2.7211624806117176
New Hampshire,3,491524,0.6103465954866903
New Jersey,11,4160165,0.2644125894045068
New Mexico,6,531818,1.128205513916415
New York,60,13479142,0.44513219016462624
North Carolina,13,3571623,0.363980184918733
North Dakota,6,641935,0.9346740713623654
Ohio,26,6907612,0.3763963581046532
Oklahoma,15,2336434,0.6420040112410622
Oregon,16,1089684,1.4683155850686989
Pennsylvania,39,9900180,0.39393223153518414
Puerto Rico,4,1869255,0.21398899561590046
Rhode Island,6,713346,0.8411065597900599
South Carolina,8,1899804,0.42109607096310986
South Dakota,11,642961,1.7108347162580624
Tennessee,13,2915841,0.44584049678977694
Texas,52,6414824,0.8106223958755533
Utah,7,550310,1.2720103214551797
Vermont,5,359231,1.3918620609023162
Virginia,12,2677773,0.4481335796574243
Washington,24,1736191,1.382336390408659
West Virginia,7,1901974,0.3680386798137093
Wisconsin,19,3137587,0.605560897594234
Wyoming,3,250742,1.1964489395474232
